requests_total,connections_total,jobs_processed,cpu_usage_percent,memory_used_percent,connections_current,queue_length,avg_latency,avg_processing_time,request_rate,timestamp
42612,42612,42609,49.1509434,37.84179688,3,3,1.230571723,1.227916667,0.35787565,12:34:25
42615,42615,42615,53.72881356,6.103515625,0,0,1.639871424,1.637466667,0.320168977,12:34:40
42621,42621,42621,44.7,0.9765625,0,0,1.674643941,1.672055556,0.334057124,12:34:55
42627,42627,42624,51.20967742,26.61132813,3,3,1.939542205,1.937066667,0.357406657,12:35:10
42633,42633,42633,27.78846154,34.42382813,0,0,1.825474098,1.821444444,0.333722676,12:35:25
42636,42636,42636,41.27272727,7.080078125,0,0,1.870003732,1.866,0.34636033,12:35:40
42645,42645,42645,55.98214286,0.732421875,0,0,1.929624716,2.20652381,0.333753616,12:35:55
42648,42648,42648,29.79166667,4.150390625,0,0,1.72417337,2.048722222,0.346386991,12:36:10
42651,42651,42651,44.33962264,7.080078125,0,0,1.807994735,2.198266667,0.341615614,12:36:25
42660,42660,42660,57.28070175,21.72851563,0,0,1.955144134,2.233380952,0.346520358,12:36:40
42663,42663,42663,41.81034483,2.44140625,0,0,2.131809018,2.1294,0.341390141,12:36:55
42672,42672,42669,64.22413793,0.244140625,3,3,2.1590045,2.154555556,0.403900525,12:37:10
42675,42675,42675,41.8627451,9.521484375,0,0,1.989875852,1.985333333,0.33365463,12:37:25
42678,42678,42678,43.98148148,5.126953125,0,0,1.940860325,1.936133333,0.357525921,12:37:40
42687,42687,42687,39.51923077,32.47070313,0,0,1.579054835,1.761,0.389487546,12:37:55
42690,42690,42690,36.25,18.06640625,0,0,1.502299237,1.760133333,0.35745776,12:38:10
42696,42696,42696,33.16326531,2.44140625,0,0,1.295485987,1.509833333,0.33387743,12:38:25
42702,42702,42699,62.45614035,0,3,3,1.290338106,1.504555556,0.389523668,12:38:40
42705,42705,42705,53.21428571,6.34765625,0,0,1.721329235,1.7178,0.357577058,12:38:55
42711,42711,42711,42.64150943,12.20703125,0,0,1.929771253,1.925611111,0.333735051,12:39:10
42717,42717,42717,43.98148148,3.41796875,0,0,1.647623147,1.643055556,0.357261944,12:39:25
42723,42723,42723,22.7,32.47070313,0,0,1.335734248,1.331777778,0.333691743,12:39:40
